variant_label,envelope_weight,structural_weight,support_weight,center_weight,span_threshold_mm,case_label,branch_key,seed,case_variant,run_name,selection_mode,component_candidate_count,support_q10_mm,support_q90_mm,observed_support_span_mm,selected_component_count,selected_x_values_mm,selected_z_values_mm,selected_ranks,selection_score,selected_base_sum,edge_envelope_score,support_score,active_structure_score,regular_structure_score,pair_structure_score,regular_center_score,x_span_mm,gap_left_mm,gap_right_mm,target_slot_hit_count,all_target_slots_hit,target_slot_hit_flags,target_slot_abs_errors_mm,max_target_slot_abs_error_mm,truth_free_selection_at_inference,uses_branch_slots_for_selection
env2_struct0.4_support0.08_center0_span90,2.0,0.4,0.08,0.0,90.0,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,regular,16,183.5,293.0,109.5,3,"182,250,295","89,84,89","13,1,7",0.3469695676558002,0.37036499999999994,-0.11666666666666667,4.540890429030837,-0.38333333333333336,-0.38333333333333336,-0.65,-0.2875,113.0,68.0,45.0,3,True,"1,1,1","8,0,5",8.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,close_pair,20,185.9,265.8,79.9,3,"185,250,265","97,81,85","13,5,1",0.8774772787391341,0.537896,-0.05666666666666723,6.161432650905856,-0.1,-0.8333333333333334,-0.1,-0.625,80.0,65.0,15.0,3,True,"1,1,1","5,0,1",5.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,close_pair,20,187.9,264.2,76.29999999999998,3,"188,252,264","85,87,81","9,4,1",1.0114323980851054,0.6397139999999999,-0.009999999999999431,5.396479976063805,-0.1,-0.8666666666666667,-0.1,-0.65,76.0,64.0,12.0,3,True,"1,1,1","2,2,0",2.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,close_pair,20,190.5,266.2,75.69999999999999,3,"191,254,266","86,91,91","13,3,1",0.9848868585161624,0.614831,-0.023333333333332953,5.62569823145202,-0.08333333333333333,-0.85,-0.08333333333333333,-0.6375,75.0,63.0,12.0,3,True,"1,1,1","1,4,2",4.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,close_pair,20,190.9,263.8,72.9,3,"190,248,263","95,86,81","12,3,1",0.8348201101381374,0.581442,-0.05666666666666723,4.833893043393398,-0.05,-0.7166666666666667,-0.05,-0.5375,73.0,58.0,15.0,3,True,"1,1,1","0,2,1",2.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,close_pair,20,189.8,272.0,82.19999999999999,3,"190,260,272","85,87,92","14,1,2",1.0110569348724057,0.6240600000000001,-0.006666666666666288,6.004128352571726,-0.2,-0.9666666666666667,-0.2,-0.725,82.0,70.0,12.0,3,True,"1,1,1","0,10,8",10.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,close_pair,20,190.9,264.0,73.1,3,"191,247,261","93,85,83","14,5,1",0.7254586821570272,0.5073979999999999,-0.10333333333333314,5.642425193629503,-0.06666666666666667,-0.7,-0.06666666666666667,-0.525,70.0,56.0,14.0,3,True,"1,1,1","1,3,3",3.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,regular,17,185.8,296.0,110.19999999999999,3,"187,250,294","85,84,92","15,3,8",0.1810716917052574,0.223827,-0.10666666666666628,3.715558646315708,-0.31666666666666665,-0.31666666666666665,-0.55,-0.2375,107.0,63.0,44.0,3,True,"1,1,1","3,0,6",6.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,regular,17,186.6,301.2,114.6,3,"187,258,303","102,90,101","9,2,14",0.1917174398036774,0.16981300000000002,-0.0733333333333339,4.273805497545982,-0.43333333333333335,-0.43333333333333335,-0.7,-0.325,116.0,71.0,45.0,3,True,"1,1,1","3,8,3",8.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,regular,20,189.8,298.3,108.5,3,"188,253,298","97,101,97","18,1,6",0.31736235941332724,0.25081166666666665,-0.07000000000000076,4.248550325999942,-0.3333333333333333,-0.3333333333333333,-0.6,-0.25,110.0,65.0,45.0,3,True,"1,1,1","2,3,2",3.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,regular,20,185.7,294.0,108.30000000000001,3,"188,252,294","97,82,80","12,1,5",0.5105228324278,0.471047,-0.07666666666666705,4.2434479053475105,-0.36666666666666664,-0.36666666666666664,-0.5333333333333333,-0.275,106.0,64.0,42.0,3,True,"1,1,1","2,2,6",6.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,regular,20,184.8,296.7,111.89999999999998,3,"183,257,296","97,87,76","16,2,9",0.02420310995960495,0.12145066666666665,-0.08333333333333333,3.784405541161729,-0.5833333333333334,-0.5833333333333334,-0.65,-0.4375,113.0,74.0,39.0,3,True,"1,1,1","7,7,4",7.0,True,False
env2_struct0.4_support0.08_center0_span100,2.0,0.4,0.08,0.0,100.0,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,regular,16,183.5,293.0,109.5,3,"182,250,295","89,84,89","13,1,7",0.3469695676558002,0.37036499999999994,-0.11666666666666667,4.540890429030837,-0.38333333333333336,-0.38333333333333336,-0.65,-0.2875,113.0,68.0,45.0,3,True,"1,1,1","8,0,5",8.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,close_pair,20,185.9,265.8,79.9,3,"185,250,265","97,81,85","13,5,1",0.8774772787391341,0.537896,-0.05666666666666723,6.161432650905856,-0.1,-0.8333333333333334,-0.1,-0.625,80.0,65.0,15.0,3,True,"1,1,1","5,0,1",5.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,close_pair,20,187.9,264.2,76.29999999999998,3,"188,252,264","85,87,81","9,4,1",1.0114323980851054,0.6397139999999999,-0.009999999999999431,5.396479976063805,-0.1,-0.8666666666666667,-0.1,-0.65,76.0,64.0,12.0,3,True,"1,1,1","2,2,0",2.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,close_pair,20,190.5,266.2,75.69999999999999,3,"191,254,266","86,91,91","13,3,1",0.9848868585161624,0.614831,-0.023333333333332953,5.62569823145202,-0.08333333333333333,-0.85,-0.08333333333333333,-0.6375,75.0,63.0,12.0,3,True,"1,1,1","1,4,2",4.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,close_pair,20,190.9,263.8,72.9,3,"190,248,263","95,86,81","12,3,1",0.8348201101381374,0.581442,-0.05666666666666723,4.833893043393398,-0.05,-0.7166666666666667,-0.05,-0.5375,73.0,58.0,15.0,3,True,"1,1,1","0,2,1",2.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,close_pair,20,189.8,272.0,82.19999999999999,3,"190,260,272","85,87,92","14,1,2",1.0110569348724057,0.6240600000000001,-0.006666666666666288,6.004128352571726,-0.2,-0.9666666666666667,-0.2,-0.725,82.0,70.0,12.0,3,True,"1,1,1","0,10,8",10.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,close_pair,20,190.9,264.0,73.1,3,"191,247,261","93,85,83","14,5,1",0.7254586821570272,0.5073979999999999,-0.10333333333333314,5.642425193629503,-0.06666666666666667,-0.7,-0.06666666666666667,-0.525,70.0,56.0,14.0,3,True,"1,1,1","1,3,3",3.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,regular,17,185.8,296.0,110.19999999999999,3,"187,250,294","85,84,92","15,3,8",0.1810716917052574,0.223827,-0.10666666666666628,3.715558646315708,-0.31666666666666665,-0.31666666666666665,-0.55,-0.2375,107.0,63.0,44.0,3,True,"1,1,1","3,0,6",6.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,regular,17,186.6,301.2,114.6,3,"187,258,303","102,90,101","9,2,14",0.1917174398036774,0.16981300000000002,-0.0733333333333339,4.273805497545982,-0.43333333333333335,-0.43333333333333335,-0.7,-0.325,116.0,71.0,45.0,3,True,"1,1,1","3,8,3",8.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,regular,20,189.8,298.3,108.5,3,"188,253,298","97,101,97","18,1,6",0.31736235941332724,0.25081166666666665,-0.07000000000000076,4.248550325999942,-0.3333333333333333,-0.3333333333333333,-0.6,-0.25,110.0,65.0,45.0,3,True,"1,1,1","2,3,2",3.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,regular,20,185.7,294.0,108.30000000000001,3,"188,252,294","97,82,80","12,1,5",0.5105228324278,0.471047,-0.07666666666666705,4.2434479053475105,-0.36666666666666664,-0.36666666666666664,-0.5333333333333333,-0.275,106.0,64.0,42.0,3,True,"1,1,1","2,2,6",6.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,regular,20,184.8,296.7,111.89999999999998,3,"183,257,296","97,87,76","16,2,9",0.02420310995960495,0.12145066666666665,-0.08333333333333333,3.784405541161729,-0.5833333333333334,-0.5833333333333334,-0.65,-0.4375,113.0,74.0,39.0,3,True,"1,1,1","7,7,4",7.0,True,False
env2_struct0.4_support0.08_center0_span105,2.0,0.4,0.08,0.0,105.0,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,regular,16,183.5,293.0,109.5,3,"182,250,295","89,84,89","13,1,7",0.3469695676558002,0.37036499999999994,-0.11666666666666667,4.540890429030837,-0.38333333333333336,-0.38333333333333336,-0.65,-0.2875,113.0,68.0,45.0,3,True,"1,1,1","8,0,5",8.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,close_pair,20,185.9,265.8,79.9,3,"185,250,265","97,81,85","13,5,1",0.8774772787391341,0.537896,-0.05666666666666723,6.161432650905856,-0.1,-0.8333333333333334,-0.1,-0.625,80.0,65.0,15.0,3,True,"1,1,1","5,0,1",5.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,close_pair,20,187.9,264.2,76.29999999999998,3,"188,252,264","85,87,81","9,4,1",1.0114323980851054,0.6397139999999999,-0.009999999999999431,5.396479976063805,-0.1,-0.8666666666666667,-0.1,-0.65,76.0,64.0,12.0,3,True,"1,1,1","2,2,0",2.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,close_pair,20,190.5,266.2,75.69999999999999,3,"191,254,266","86,91,91","13,3,1",0.9848868585161624,0.614831,-0.023333333333332953,5.62569823145202,-0.08333333333333333,-0.85,-0.08333333333333333,-0.6375,75.0,63.0,12.0,3,True,"1,1,1","1,4,2",4.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,close_pair,20,190.9,263.8,72.9,3,"190,248,263","95,86,81","12,3,1",0.8348201101381374,0.581442,-0.05666666666666723,4.833893043393398,-0.05,-0.7166666666666667,-0.05,-0.5375,73.0,58.0,15.0,3,True,"1,1,1","0,2,1",2.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,close_pair,20,189.8,272.0,82.19999999999999,3,"190,260,272","85,87,92","14,1,2",1.0110569348724057,0.6240600000000001,-0.006666666666666288,6.004128352571726,-0.2,-0.9666666666666667,-0.2,-0.725,82.0,70.0,12.0,3,True,"1,1,1","0,10,8",10.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,close_pair,20,190.9,264.0,73.1,3,"191,247,261","93,85,83","14,5,1",0.7254586821570272,0.5073979999999999,-0.10333333333333314,5.642425193629503,-0.06666666666666667,-0.7,-0.06666666666666667,-0.525,70.0,56.0,14.0,3,True,"1,1,1","1,3,3",3.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,regular,17,185.8,296.0,110.19999999999999,3,"187,250,294","85,84,92","15,3,8",0.1573216917052574,0.223827,-0.10666666666666628,3.715558646315708,-0.31666666666666665,-0.31666666666666665,-0.55,-0.2375,107.0,63.0,44.0,3,True,"1,1,1","3,0,6",6.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,regular,17,186.6,301.2,114.6,3,"187,253,303","102,100,101","9,3,14",0.16705370796403995,0.112457,-0.0733333333333339,4.099125516217181,-0.26666666666666666,-0.26666666666666666,-0.7,-0.2,116.0,66.0,50.0,3,True,"1,1,1","3,3,3",3.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,regular,20,189.8,298.3,108.5,3,"188,253,298","97,101,97","18,1,6",0.2923623594133272,0.25081166666666665,-0.07000000000000076,4.248550325999942,-0.3333333333333333,-0.3333333333333333,-0.6,-0.25,110.0,65.0,45.0,3,True,"1,1,1","2,3,2",3.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,regular,20,185.7,294.0,108.30000000000001,3,"188,252,294","97,82,80","12,1,5",0.48302283242780003,0.471047,-0.07666666666666705,4.2434479053475105,-0.36666666666666664,-0.36666666666666664,-0.5333333333333333,-0.275,106.0,64.0,42.0,3,True,"1,1,1","2,2,6",6.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,regular,20,184.8,296.7,111.89999999999998,3,"183,256,296","97,99,76","16,3,9",-0.018822496465948628,0.10146666666666665,-0.08333333333333333,3.8453437941756423,-0.55,-0.55,-0.65,-0.4125,113.0,73.0,40.0,3,True,"1,1,1","7,6,4",7.0,True,False
env2_struct0.4_support0.08_center0.1_span90,2.0,0.4,0.08,0.1,90.0,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,regular,16,183.5,293.0,109.5,3,"182,250,295","89,84,89","13,1,7",0.31821956765580023,0.37036499999999994,-0.11666666666666667,4.540890429030837,-0.38333333333333336,-0.38333333333333336,-0.65,-0.2875,113.0,68.0,45.0,3,True,"1,1,1","8,0,5",8.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,close_pair,20,185.9,265.8,79.9,3,"185,250,265","97,81,85","13,5,1",0.8774772787391341,0.537896,-0.05666666666666723,6.161432650905856,-0.1,-0.8333333333333334,-0.1,-0.625,80.0,65.0,15.0,3,True,"1,1,1","5,0,1",5.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,close_pair,20,187.9,264.2,76.29999999999998,3,"188,252,264","85,87,81","9,4,1",1.0114323980851054,0.6397139999999999,-0.009999999999999431,5.396479976063805,-0.1,-0.8666666666666667,-0.1,-0.65,76.0,64.0,12.0,3,True,"1,1,1","2,2,0",2.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,close_pair,20,190.5,266.2,75.69999999999999,3,"191,254,266","86,91,91","13,3,1",0.9848868585161624,0.614831,-0.023333333333332953,5.62569823145202,-0.08333333333333333,-0.85,-0.08333333333333333,-0.6375,75.0,63.0,12.0,3,True,"1,1,1","1,4,2",4.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,close_pair,20,190.9,263.8,72.9,3,"190,248,263","95,86,81","12,3,1",0.8348201101381374,0.581442,-0.05666666666666723,4.833893043393398,-0.05,-0.7166666666666667,-0.05,-0.5375,73.0,58.0,15.0,3,True,"1,1,1","0,2,1",2.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,close_pair,20,189.8,272.0,82.19999999999999,3,"190,260,272","85,87,92","14,1,2",1.0110569348724057,0.6240600000000001,-0.006666666666666288,6.004128352571726,-0.2,-0.9666666666666667,-0.2,-0.725,82.0,70.0,12.0,3,True,"1,1,1","0,10,8",10.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,close_pair,20,190.9,264.0,73.1,3,"191,247,261","93,85,83","14,5,1",0.7254586821570272,0.5073979999999999,-0.10333333333333314,5.642425193629503,-0.06666666666666667,-0.7,-0.06666666666666667,-0.525,70.0,56.0,14.0,3,True,"1,1,1","1,3,3",3.0,True,False
env2_struct0.4_support0.08_center0.1_span100,2.0,0.4,0.08,0.1,100.0,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,regular,17,185.8,296.0,110.19999999999999,3,"187,250,294","85,84,92","15,3,8",0.1573216917052574,0.223827,-0.10666666666666628,3.715558646315708,-0.31666666666666665,-0.31666666666666665,-0.55,-0.2375,107.0,63.0,44.0,3,True,"1,1,1","3,0,6",6.0,True,False
